Gene	Stage1	Stage2	Stage3	Stage4	Stage5	Stage6	Group
Gene295	1.230906	0.9406003	0.22600652	-0.1565667	-1.0379199	-1.2030262	group1
Gene296	1.2274958	0.9662194	0.18468453	-0.14394408	-1.0522285	-1.1822271	group1
Gene297	1.2373565	0.9587967	0.1930939	-0.164929	-1.0367422	-1.1875758	group1
Gene298	1.2364433	0.96385336	0.18497334	-0.16202238	-1.0398138	-1.1834339	group1
Gene299	1.1514708	0.96585643	0.20787346	-0.00260266	-1.1414573	-1.1811408	group1
Gene300	1.1997188	0.9390721	0.24001557	-0.09695755	-1.0761456	-1.2057034	group1
Gene301	1.2096004	0.9339041	0.24511532	-0.11705386	-1.0619563	-1.2096096	group1
Gene302	1.1809568	0.934402	0.25333303	-0.06317621	-1.0963497	-1.2091659	group1
Gene303	1.1835977	0.8944728	0.31641632	-0.07974932	-1.0751169	-1.2396207	group1
Gene304	1.1728935	0.9093712	0.29592517	-0.05534459	-1.0946207	-1.2282246	group1
Gene305	1.1970884	0.919318	0.2729242	-0.09736291	-1.0707896	-1.2211782	group1
Gene306	1.1909356	0.9116208	0.28716496	-0.08807542	-1.0746269	-1.2270191	group1
Gene307	1.187086	0.9120199	0.28770065	-0.08077052	-1.0793635	-1.2266726	group1
Gene308	1.1265204	0.89422375	0.3299657	0.022983205	-1.1383651	-1.2353278	group1
Gene309	1.1271317	0.86885035	0.36940765	0.013583492	-1.1251824	-1.2537907	group1
Gene310	1.1459565	0.873802	0.35806328	-0.018067215	-1.1074297	-1.2523248	group1
Gene311	1.0751299	0.78981405	0.4945431	0.07240319	-1.1340015	-1.2978886	group1
Gene312	1.1075606	0.84610903	0.40727332	0.03951612	-1.1336194	-1.2668397	group1
Gene313	1.0977528	0.8254246	0.43963206	0.048493292	-1.1321843	-1.2791184	group1
Gene314	1.0761678	0.84477365	0.4131186	0.09254518	-1.1644028	-1.2622024	group1
Gene315	1.0797828	0.8249745	0.4425362	0.078994006	-1.1500077	-1.2762798	group1
Gene316	1.0635033	0.8229378	0.44711736	0.10556905	-1.1647719	-1.2743555	group1
Gene317	0.6101905	0.3432553	1.0311033	0.5268671	-1.167746	-1.3436702	group2
Gene318	0.62891185	0.3629119	1.0121275	0.51376414	-1.17236	-1.3453555	group2
Gene319	0.6478991	0.39158618	0.98207587	0.50583875	-1.18412	-1.3432798	group2
Gene320	0.60500294	0.38556767	0.9792876	0.56157315	-1.2071158	-1.3243157	group2
Gene321	0.70352226	0.43882325	0.9360246	0.45697126	-1.185367	-1.3499744	group2
Gene322	0.70197	0.42468232	0.9528985	0.4502269	-1.1746792	-1.3550986	group2
Gene323	0.7249293	0.46086118	0.9128456	0.43992558	-1.1883013	-1.3502603	group2
Gene324	0.7356201	0.45462373	0.9222666	0.4205394	-1.1754742	-1.3575758	group2
Gene325	0.7442893	0.4709327	0.9036563	0.41808724	-1.1825554	-1.35441	group2
Gene326	0.7616899	0.4850802	0.8888508	0.4013691	-1.181279	-1.3557111	group2
Gene327	0.746452	0.49649617	0.872205	0.43046725	-1.2015157	-1.3441048	group2
Gene328	0.77743524	0.5336995	0.8300417	0.40723366	-1.2080475	-1.3403625	group2
Gene329	0.85760254	0.57663244	0.78468275	0.3124251	-1.1795666	-1.3517762	group2
Gene330	0.8090198	0.5358325	0.8316891	0.36190575	-1.186065	-1.3523823	group2
Gene331	0.83357745	0.55533063	0.80967575	0.33651885	-1.1822175	-1.3528852	group2
Gene332	0.82240087	0.56249785	0.7992469	0.35737744	-1.1963669	-1.3451561	group2
Gene333	0.97845805	0.71912014	0.5998299	0.19922386	-1.1797063	-1.3169256	group2
Gene334	0.91274184	0.6942172	0.63187283	0.28998485	-1.2188393	-1.3099774	group2
Gene335	0.8772283	0.62206537	0.72704154	0.30767927	-1.1976018	-1.3364127	group2
Gene336	0.8953864	0.6228839	0.72731245	0.28032327	-1.1834748	-1.3424313	group2
Gene337	0.9038553	0.62907547	0.71964943	0.27059415	-1.1809996	-1.3421748	group2
Gene338	0.9133337	0.648661	0.69412625	0.26632443	-1.1872121	-1.3352332	group2
Gene339	0.9241319	0.67063624	0.6650496	0.26088333	-1.1936069	-1.3270942	group2
Gene340	-0.05105094	-0.26744786	1.4373466	0.8985311	-0.9147927	-1.1025862	group2
Gene341	-0.037296925	-0.24978852	1.4272529	0.89781976	-0.928474	-1.1095132	group2
Gene342	-0.02586482	-0.2516765	1.4344298	0.8826986	-0.92159295	-1.1179941	group2
Gene343	-0.027687704	-0.2516949	1.4335951	0.8848379	-0.9223475	-1.1167029	group2
Gene344	0.111002125	-0.130676	1.3783561	0.82136166	-0.9905078	-1.1895361	group2
Gene345	0.021079985	-0.20961335	1.4160241	0.86335236	-0.94717723	-1.1436659	group2
Gene346	0.06469515	-0.17114383	1.3982229	0.8437133	-0.9690235	-1.166464	group2
Gene347	0.029954711	-0.1808706	1.3922186	0.8772305	-0.9741464	-1.1443869	group2
Gene348	0.045932572	-0.1580954	1.3770584	0.8772252	-0.9912442	-1.1508766	group2
Gene349	0.2825719	0.02821523	1.283494	0.7350194	-1.0673714	-1.261929	group2
Gene350	0.29431358	0.030767165	1.2849725	0.72194475	-1.0636102	-1.2683878	group2
Gene351	0.2377625	-0.020676099	1.3177768	0.7533552	-1.0416642	-1.2465541	group2
Gene352	0.20071581	-0.032997202	1.316291	0.7901246	-1.0480098	-1.2261244	group2
Gene353	0.20442626	-0.012555971	1.2965344	0.80164176	-1.0667138	-1.2233326	group2
Gene354	0.20454495	-0.020718133	1.3050966	0.79508466	-1.058492	-1.2255162	group2
Gene355	0.22932893	-0.006935481	1.3004313	0.7749429	-1.0599053	-1.2378622	group2
Gene356	0.2406365	0.015563888	1.2812151	0.7783275	-1.0765911	-1.239152	group2
Gene357	0.22738896	0.00642827	1.2856976	0.7878324	-1.0742079	-1.2331392	group2
Gene358	0.47929716	0.29716232	1.0495418	0.67340547	-1.2082388	-1.291168	group2
Gene359	0.40943012	0.16026275	1.1844211	0.67043316	-1.1252824	-1.2992646	group2
Gene360	0.44453165	0.21150605	1.1381681	0.6610089	-1.1525804	-1.3026342	group2
Gene361	0.46722573	0.20054923	1.157235	0.6229362	-1.1290596	-1.3188868	group2
Gene362	0.50728196	0.22233537	1.143993	0.58449	-1.1247553	-1.333345	group2
Gene363	0.53441846	0.26240587	1.1060326	0.57602924	-1.1446173	-1.3342688	group2
Gene364	-1.2360313	-1.2465786	0.43347466	0.22617899	1.005358	0.81759816	group3
Gene365	-1.2139513	-1.2410486	0.40004444	0.17073722	1.0464991	0.83771914	group3
Gene366	-1.183326	-1.261962	0.44481072	0.12575722	1.0719563	0.8027638	group3
Gene367	-1.1778562	-1.2602245	0.43662593	0.11273739	1.0813087	0.8074086	group3
Gene368	-1.1943897	-1.2601874	0.44570288	0.14725044	1.0577089	0.80391484	group3
Gene369	-1.1938566	-1.2606857	0.44692934	0.14663456	1.0579846	0.8029938	group3
Gene370	-1.1973126	-1.2555505	0.43317288	0.14873853	1.0580397	0.81291187	group3
Gene371	-1.1632289	-1.2624885	0.4366194	0.08550162	1.0988274	0.80476886	group3
Gene372	-1.1648198	-1.2621703	0.4363558	0.08835255	1.0970359	0.8052458	group3
Gene373	-1.1621277	-1.2642895	0.44157532	0.08505715	1.0985812	0.8012035	group3
Gene374	-1.1570662	-1.2618027	0.43200967	0.07274649	1.1074117	0.80670106	group3
Gene375	-1.1712712	-1.2553248	0.4188326	0.09482518	1.0946791	0.8182593	group3
Gene376	-1.1699916	-1.2528727	0.41107374	0.090096265	1.0984632	0.82323116	group3
Gene377	-1.1444788	-1.2700168	0.45191666	0.056248195	1.1156226	0.79070807	group3
Gene378	-1.1424737	-1.271736	0.45642626	0.054104425	1.116448	0.787231	group3
Gene379	-1.146248	-1.2648844	0.43711418	0.05472662	1.118201	0.8010905	group3
Gene380	-1.140348	-1.2671429	0.44181937	0.045614097	1.123369	0.7966884	group3
Gene381	-1.1478349	-1.2602271	0.42390794	0.05351644	1.1203355	0.810302	group3
Gene382	-1.1505948	-1.2590836	0.42153543	0.057775706	1.1179104	0.81245685	group3
Gene383	-1.1413378	-1.2595136	0.41965798	0.04059329	1.1288065	0.8117937	group3
Gene384	-1.1179557	-1.2629787	0.4233033	5.61E-04	1.1529095	0.8041603	group3
Gene385	-1.1116332	-1.2621039	0.41941136	-0.01148967	1.160548	0.80526745	group3
Gene386	-1.1162	-1.2579852	0.40862003	-0.00672109	1.1587678	0.81351846	group3
Gene387	-1.114369	-1.2586653	0.41016355	-0.009439401	1.1602476	0.8120626	group3
Gene388	-1.1175212	-1.2563622	0.4043103	-0.005656897	1.1585456	0.8166844	group3
Gene389	-1.1229697	-1.2652656	0.4311644	0.011627053	1.1453894	0.80005443	group3
Gene390	-1.1304219	-1.2658974	0.43503886	0.025881626	1.1362779	0.7991208	group3
Gene391	-1.1289537	-1.2638041	0.4284823	0.021303905	1.1397749	0.8031967	group3
Gene392	-1.1180993	-1.2699006	0.44358268	0.006933041	1.146886	0.7905982	group3
Gene393	-1.1159317	-1.2677188	0.4366333	0.001041437	1.1512077	0.79476815	group3
Gene394	-1.1115826	-1.2672414	0.4342642	-0.007187512	1.1564112	0.7953361	group3
Gene395	-1.123171	-1.2756861	0.4622847	0.021719156	1.1357547	0.7790985	group3
Gene396	-1.1285915	-1.2766571	0.46685416	0.032765873	1.1284432	0.77718544	group3
Gene397	-1.1280433	-1.2826681	0.48536837	0.038025722	1.12292	0.7643972	group3
Gene398	-1.131938	-1.2801713	0.4788222	0.042710897	1.1208498	0.7697263	group3
Gene399	-1.1356624	-1.2755599	0.46577045	0.044972923	1.1210359	0.7794431	group3
Gene400	-1.1826608	-1.2454572	0.39536086	0.10907814	1.087679	0.836	group3
Gene401	-1.1857082	-1.2412905	0.384898	0.11179346	1.0868225	0.84348476	group3
Gene402	-1.1794256	-1.2360018	0.36718586	0.09510154	1.0990582	0.8540819	group3
Gene403	-1.1579688	-1.2266481	0.3338727	0.047297962	1.1317933	0.8716529	group3
Gene404	-1.1571785	-1.2184278	0.31212354	0.040811077	1.1372027	0.8854688	group3
Gene405	-1.1714429	-1.2230557	0.32896385	0.07060594	1.1174303	0.8774984	group3
Gene406	-1.1545	-1.2497318	0.39596152	0.05733069	1.1206341	0.8303055	group3
Gene407	-1.1534395	-1.2485936	0.39236757	0.054397497	1.1227953	0.83247256	group3
Gene408	-1.1561863	-1.2436556	0.37945563	0.055780638	1.1230475	0.8415583	group3
Gene409	-1.1562539	-1.2368287	0.36066428	0.050903067	1.1276157	0.8538996	group3
Gene410	-1.13551	-1.2444092	0.37529427	0.01778452	1.1469343	0.8399061	group3
Gene411	-1.1354398	-1.2452383	0.37755892	0.018262595	1.1464512	0.8384053	group3
Gene412	-1.1368201	-1.2472328	0.38344797	0.022277046	1.1434873	0.8348404	group3
Gene413	-1.1309229	-1.2434472	0.37149918	0.008740267	1.1527668	0.8413638	group3
Gene414	-1.1357656	-1.2513719	0.39472878	0.023516256	1.1417238	0.82716864	group3
Gene415	-1.1393342	-1.2148058	0.2981163	0.006091096	1.1593946	0.890538	group3
Gene416	-1.1429456	-1.2117143	0.29114825	0.010967333	1.1567848	0.8957595	group3
Gene417	-1.1349272	-1.2273076	0.32929748	0.005319242	1.1579862	0.86963177	group3
Gene418	-1.1359795	-1.22912	0.3343001	0.008335334	1.155814	0.8666501	group3
Gene419	-1.142244	-1.2221122	0.31754377	0.015467222	1.1525407	0.87880445	group3
Gene420	-1.1296389	-1.2183025	0.30489936	-0.009357074	1.1683837	0.8840155	group3
Gene421	-1.119511	-1.2297069	0.33236825	-0.020679131	1.1734549	0.86407375	group3
Gene422	-1.1205798	-1.2280716	0.3283	-0.019782575	1.1731937	0.8669403	group3
Gene423	-1.1238554	-1.2281567	0.32914564	-0.01394787	1.1696405	0.8671736	group3
Gene424	-1.1227243	-1.2236004	0.31712216	-0.01862222	1.1732208	0.87460405	group3
Gene425	-1.1105876	-1.2241735	0.31655636	-0.03948467	1.1856639	0.8720255	group3
Gene426	-1.1148102	-1.2363936	0.34913674	-0.024753885	1.174684	0.8521369	group3
Gene427	-1.117053	-1.2361047	0.34877288	-0.021001048	1.172474	0.85291183	group3
Gene428	-1.1196263	-1.2333744	0.34202176	-0.018208226	1.1713003	0.85788685	group3
Gene429	-1.1160018	-1.2305043	0.33382696	-0.026353234	1.1767389	0.8622935	group3
Gene430	-1.1156296	-1.2309077	0.33481812	-0.02675885	1.1769116	0.8615665	group3
Gene431	-1.1145114	-1.2333099	0.34093112	-0.027232496	1.1767613	0.8573614	group3
Gene432	-1.1072667	-1.2355177	0.3455839	-0.03845212	1.1830667	0.852586	group3
Gene433	-1.113744	-1.2450752	0.37227783	-0.020786326	1.1704826	0.836845	group3
Gene434	-1.1125642	-1.2466549	0.37636805	-0.021745296	1.1707077	0.83388853	group3
Gene435	-1.117685	-1.2470477	0.37842467	-0.012416302	1.1649575	0.83376676	group3
Gene436	-1.1174176	-1.2414731	0.36321026	-0.01679936	1.1688457	0.84363407	group3
Gene437	-1.1064129	-1.2495108	0.38311931	-0.030466588	1.1752985	0.82797253	group3
Gene438	-1.1039178	-1.2456741	0.3722512	-0.037525296	1.1804066	0.8344595	group3
Gene439	-1.1009221	-1.2573533	0.40399644	-0.03413661	1.1755319	0.8128837	group3
Gene440	-1.0971599	-1.2431035	0.3643685	-0.050909787	1.1889149	0.8378897	group3
Gene441	-1.0929362	-1.2454991	0.370297	-0.056495056	1.1916776	0.8329557	group3
Gene442	-1.0921106	-1.2404178	0.35659382	-0.06127302	1.1955739	0.84163374	group3
Gene443	-1.0961342	-1.2396945	0.3551345	-0.054904506	1.1919856	0.8436129	group3
Gene444	-1.0792428	-1.2194656	0.301405	-0.09492048	1.2187139	0.87351006	group3
Gene445	-1.0847607	-1.2207118	0.3049019	-0.08514007	1.2129264	0.87278426	group3
Gene446	-1.0892539	-1.2205969	0.30496538	-0.07771218	1.2086599	0.8739377	group3
Gene447	-1.0890584	-1.2216767	0.30768016	-0.077463895	1.2083533	0.8721655	group3
Gene448	-1.0923797	-1.2197256	0.3030429	-0.07293515	1.2060206	0.875977	group3
Gene449	-1.0882543	-1.2153784	0.29178077	-0.08207353	1.2119232	0.8820023	group3
Gene450	-1.0752639	-1.2256931	0.3169508	-0.09814126	1.2195755	0.8625718	group3
Gene451	-1.0784221	-1.2310115	0.33077452	-0.08993718	1.2139792	0.85461706	group3
Gene452	-1.0782377	-1.2314448	0.33188295	-0.0899899	1.2139312	0.85385823	group3
Gene453	-1.077478	-1.2315922	0.33221757	-0.09115817	1.2145724	0.8534385	group3
Gene454	-1.0804952	-1.2339959	0.33865365	-0.08474457	1.2104529	0.8501292	group3
Gene455	-1.0870562	-1.2320426	0.33409065	-0.07497276	1.2051792	0.85480165	group3
Gene456	-1.0949042	-1.2096103	0.2780403	-0.07377262	1.2078582	0.8923886	group3
Gene457	-1.089544	-1.2103975	0.2795215	-0.08236484	1.2127353	0.89004964	group3
Gene458	-1.0979607	-1.2142782	0.2899234	-0.066338696	1.2029397	0.8857145	group3
Gene459	-1.0873188	-1.2035658	0.26262528	-0.08921551	1.2174603	0.9000146	group3
Gene460	-1.1054208	-1.2041115	0.26565024	-0.058560077	1.1995947	0.9028474	group3
Gene461	-1.1078479	-1.1977599	0.2505226	-0.057234216	1.1994427	0.91287667	group3
Gene462	-1.1179173	-1.2063469	0.27284575	-0.036048014	1.1860102	0.9014563	group3
Gene463	-1.0505426	-1.1749278	0.19442892	-0.15943024	1.2589444	0.9315273	group3
Gene464	-1.0492805	-1.1733825	0.19093081	-0.16190422	1.2603658	0.93327063	group3
Gene465	-1.0536022	-1.171815	0.1872609	-0.15557623	1.2569757	0.93675685	group3
Gene466	-1.0575727	-1.1773865	0.19995031	-0.14751342	1.2522871	0.93023527	group3
Gene467	-1.0619894	-1.1689572	0.18069418	-0.14311776	1.2502238	0.94314635	group3
Gene468	-1.0618871	-1.1733036	0.19057742	-0.14195146	1.24941	0.93715477	group3
Gene469	-1.0396403	-1.1907861	0.2316166	-0.17098893	1.264175	0.90562373	group3
Gene470	-1.0410787	-1.1916059	0.23348479	-0.16843782	1.2627293	0.9049083	group3
Gene471	-1.040724	-1.1946564	0.24071541	-0.16781002	1.2621193	0.90035576	group3
Gene472	-1.0418017	-1.1980864	0.24883537	-0.16475599	1.2601388	0.89567	group3
Gene473	-1.0437936	-1.187305	0.22327289	-0.16580118	1.2616484	0.9119784	group3
Gene474	-1.045008	-1.1868491	0.22216284	-0.16406642	1.2607418	0.9130188	group3
Gene475	-1.0362401	-1.1866176	0.22200967	-0.17780736	1.2681735	0.9104819	group3
Gene476	-1.0566888	-1.1850148	0.2176197	-0.14630468	1.251164	0.9192246	group3
Gene477	-1.060863	-1.1865661	0.22122249	-0.13909782	1.2470778	0.91822654	group3
Gene478	-1.0536748	-1.188803	0.22652121	-0.14970401	1.2527579	0.9129028	group3
Gene479	-1.089785	-1.1943185	0.24053863	-0.08904529	1.218244	0.9143662	group3
Gene480	-1.0891787	-1.1934841	0.2385077	-0.09038709	1.2190845	0.9154576	group3
Gene481	-1.0849304	-1.1916294	0.23383094	-0.098145455	1.2236762	0.9171981	group3
Gene482	-1.0803479	-1.1815566	0.20997179	-0.10939078	1.2307593	0.9305642	group3
Gene483	-1.0884215	-1.1850653	0.21858725	-0.094860375	1.2222679	0.927492	group3
Gene484	-1.0741429	-1.1902266	0.23002973	-0.11634286	1.2341033	0.9165793	group3
Gene485	-1.0782282	-1.1871182	0.2228637	-0.11085687	1.2312351	0.92210454	group3
Gene486	-1.0684026	-1.201087	0.25577152	-0.121259436	1.2358907	0.89908683	group3
Gene487	-1.0706309	-1.1989979	0.2508006	-0.11853581	1.2345723	0.90279174	group3
Gene488	-1.0741267	-1.1999497	0.25319466	-0.11245859	1.2310588	0.90228164	group3
Gene489	-1.0737722	-1.1952467	0.24192137	-0.11497686	1.2329191	0.90915537	group3
Gene490	-1.073805	-1.195678	0.24295051	-0.11474968	1.2327528	0.9085293	group3
Gene491	-1.0588235	-1.2016484	0.25702608	-0.13640402	1.2442627	0.895587	group3
Gene492	-1.0574952	-1.205721	0.266882	-0.13675164	1.2440053	0.8890806	group3
Gene493	-1.0569708	-1.2090445	0.27498516	-0.13608815	1.2432413	0.8838769	group3
Gene494	-1.0548257	-1.2101508	0.2777058	-0.13899356	1.2447062	0.8815581	group3
Gene495	-1.058079	-1.2117124	0.2815292	-0.133079	1.241238	0.8801031	group3
Gene496	-1.0580561	-1.2120988	0.28248057	-0.13293302	1.2411066	0.87950075	group3
Gene497	-1.0591996	-1.2107999	0.27928826	-0.13171616	1.2406006	0.8818269	group3
Gene498	-1.0477552	-1.2057287	0.26703748	-0.15218006	1.2524772	0.88614935	group3
Gene499	-1.0690917	-1.2195691	0.30121812	-0.11147329	1.2280796	0.87083644	group3
Gene500	-1.0723258	-1.213411	0.28598076	-0.10928701	1.2277137	0.88132936	group3
Gene501	-1.0670801	-1.2150422	0.28986716	-0.11700751	1.2318372	0.8774257	group3
Gene502	-1.0616654	-1.2167157	0.29393196	-0.12491217	1.2360203	0.87334096	group3
Gene503	-1.1308117	-1.1734474	0.19653863	-0.026848288	1.182926	0.95164263	group3
Gene504	-1.1262451	-1.1760272	0.2017484	-0.033933368	1.1870703	0.947387	group3
Gene505	-1.1402631	-1.1705083	0.19150195	-0.011194984	1.173567	0.9568973	group3
Gene506	-1.1265391	-1.1868086	0.22704138	-0.029477216	1.183805	0.9319785	group3
Gene507	-1.1109868	-1.1867077	0.22455274	-0.05634598	1.1997905	0.92969733	group3
Gene508	-1.1199123	-1.1527953	0.14823917	-0.05175777	1.1981707	0.97805554	group3
Gene509	-1.0838268	-1.1610342	0.16336484	-0.11006107	1.2318957	0.95966154	group3
Gene510	-1.0905267	-1.1665255	0.17608482	-0.097475424	1.2246021	0.9538407	group3
Gene511	-1.1525275	-1.1872934	0.23353852	0.0169544	1.1554368	0.93389124	group3
Gene512	-1.1568577	-1.1911438	0.24389666	0.026468292	1.1492347	0.9284019	group3
Gene513	-1.1547546	-1.1756517	0.20659018	0.01652761	1.1563573	0.95093113	group3
Gene514	-1.1542463	-1.1806344	0.2181527	0.017445967	1.1555421	0.94373995	group3
Gene515	-1.1787301	-1.1900992	0.24797237	0.06679574	1.123786	0.9302753	group3
Gene516	-1.1957595	-1.2717663	0.48371556	0.16333872	1.0426197	0.7778518	group3
Gene517	-1.1937801	-1.2714193	0.4812229	0.1585612	1.046114	0.7793013	group3
Gene518	-1.1925917	-1.2700915	0.47608843	0.15438189	1.0495172	0.7826957	group3
Gene519	-1.1925174	-1.2755127	0.49396417	0.16084138	1.0430079	0.77021676	group3
Gene520	-1.210693	-1.2713093	0.49341953	0.19657117	1.0189682	0.77304333	group3
Gene521	-1.1838789	-1.2871325	0.5279393	0.15729783	1.0408115	0.7449627	group3
Gene522	-1.2023151	-1.2888526	0.5490919	0.20255107	1.0072318	0.73229283	group3
Gene523	-1.2036958	-1.2884226	0.5487406	0.20517965	1.0054859	0.73271203	group3
Gene524	-1.2035148	-1.2861706	0.54014236	0.20111863	1.0095282	0.73889625	group3
Gene525	-1.191493	-1.2914718	0.5494931	0.18114573	1.0217059	0.73062015	group3
Gene526	-1.1911504	-1.2916998	0.5500593	0.18071093	1.0219141	0.7301658	group3
Gene527	-1.1974298	-1.2886679	0.5440696	0.19061264	1.0161067	0.73530877	group3
Gene528	-1.2080102	-1.2810208	0.52527946	0.20392643	1.0097212	0.7501039	group3
Gene529	-1.1667683	-1.2697872	0.46057191	0.09990842	1.0869591	0.789116	group3
Gene530	-1.1681952	-1.2683369	0.45674875	0.101277396	1.0865154	0.7919905	group3
Gene531	-1.1679162	-1.2744657	0.47589573	0.10732683	1.0803715	0.7787878	group3
Gene532	-1.1647435	-1.2745173	0.47447574	0.10091324	1.0846744	0.7791975	group3
Gene533	-1.1585073	-1.2701163	0.45781186	0.083706684	1.0976368	0.7894683	group3
Gene534	-1.1487068	-1.2781969	0.47889584	0.07293055	1.1019588	0.77311856	group3
Gene535	-1.1459056	-1.27894	0.48010135	0.06825542	1.1047554	0.77173334	group3
Gene536	-1.1572775	-1.2763823	0.47687167	0.08792562	1.0926969	0.77616566	group3
Gene537	-1.1547282	-1.2774501	0.4791148	0.08401731	1.0949097	0.7741365	group3
Gene538	-1.1544405	-1.275956	0.4742596	0.0818084	1.0969058	0.77742267	group3
Gene539	-1.1532031	-1.2812979	0.49075335	0.08532059	1.092621	0.76580614	group3
Gene540	-1.157941	-1.2797073	0.4878149	0.09300128	1.088098	0.76873404	group3
Gene541	-1.14026	-1.2899787	0.5134929	0.069967434	1.0993105	0.7474679	group3
Gene542	-1.1394486	-1.2929425	0.52303576	0.07206425	1.0966587	0.7406324	group3
Gene543	-1.1372778	-1.285017	0.49610496	0.058274265	1.1089723	0.75894326	group3
Gene544	-1.1424819	-1.2831584	0.4921665	0.066271126	1.1044766	0.7627262	group3
Gene545	-1.1423466	-1.2859098	0.50100404	0.069185436	1.1014897	0.75657725	group3
Gene546	-1.142538	-1.285565	0.4999619	0.069156654	1.1016457	0.7573387	group3
Gene547	-1.1446519	-1.2859449	0.50208426	0.07376441	1.0984626	0.7562855	group3
Gene548	-1.1594962	-1.2880658	0.5161814	0.10634059	1.0757958	0.7492443	group3
Gene549	-1.1602767	-1.2888516	0.5192612	0.10897364	1.0736731	0.74722034	group3
Gene550	-1.1633625	-1.2851827	0.5085412	0.11067131	1.0740426	0.7552902	group3
Gene551	-1.1539043	-1.2882451	0.5139316	0.095109686	1.08331	0.7497981	group3
Gene552	-1.1520487	-1.2871044	0.50922877	0.08992779	1.0872579	0.7527387	group3
Gene553	-1.1603674	-1.2919829	0.53005505	0.1133336	1.069335	0.7396266	group3
Gene554	-1.1531273	-1.293463	0.53127104	0.10031891	1.0775371	0.7374633	group3
Gene555	-1.1632639	-1.2811617	0.49517024	0.10553559	1.0791163	0.76460344	group3
Gene556	-1.1723244	-1.278883	0.4925589	0.12158579	1.0690585	0.7680041	group3
Gene557	-1.1696521	-1.285025	0.51152134	0.12362696	1.0652382	0.75429064	group3
Gene558	-1.1766013	-1.284522	0.51400554	0.13778669	1.0556389	0.7536922	group3
Gene559	-1.1672435	-1.2969503	0.55180347	0.13510144	1.051962	0.7253269	group3
Gene560	-1.1639147	-1.2972989	0.5509429	0.1284265	1.0564549	0.7253893	group3
Gene561	-1.1720892	-1.2961123	0.55198526	0.14443378	1.045804	0.72597843	group3
Gene562	-1.157266	-1.3032253	0.5684717	0.1232157	1.0571202	0.7116838	group3
Gene563	-1.1572161	-1.302418	0.5654581	0.12184463	1.0584886	0.71384275	group3
Gene564	-1.1616416	-1.3002303	0.56017613	0.12796992	1.0553336	0.7183922	group3
Gene565	-1.1488147	-1.3000413	0.55205035	0.100605555	1.0742661	0.721934	group3
Gene566	-1.155164	-1.2978446	0.5477066	0.11065008	1.0684714	0.7261805	group3
Gene567	-1.1498834	-1.3028475	0.56272775	0.10697987	1.0685198	0.71450335	group3
Gene568	-1.1670532	-1.3042924	0.5790384	0.1463882	1.0402561	0.70566297	group3
Gene569	-1.1646769	-1.3032414	0.57337165	0.13936703	1.0457917	0.70938784	group3
Gene570	-1.1607269	-1.3090633	0.5929892	0.14049603	1.0418098	0.69449514	group3
Gene571	-1.1764196	-1.3057082	0.59183425	0.17026949	1.0222808	0.6977432	group3
Gene572	-1.1757843	-1.3057262	0.59137815	0.16881976	1.0233266	0.697986	group3
Gene573	-1.173705	-1.3067883	0.59390426	0.16592231	1.024835	0.6958318	group3
Gene574	-1.1772203	-1.3031337	0.5823169	0.16751245	1.0257051	0.7048196	group3
Gene575	-1.1760156	-1.3095261	0.60699743	0.17653896	1.0154808	0.6865245	group3
Gene576	-1.1723042	-1.3110862	0.61020607	0.17078884	1.0187696	0.6836258	group3
Gene577	-1.167177	-1.3151287	0.6227027	0.16676793	1.0192165	0.6736185	group3
Gene578	-1.2099613	-1.2886785	0.5557927	0.2209998	0.99354285	0.7283045	group3
Gene579	-1.2154264	-1.286332	0.55233747	0.23067644	0.9873542	0.7313903	group3
Gene580	-1.2152225	-1.2905272	0.56870455	0.23768768	0.979959	0.7193984	group3
Gene581	-1.208725	-1.2945532	0.57783216	0.22851965	0.9848912	0.7120352	group3
Gene582	-1.2071805	-1.2940277	0.5740422	0.22359164	0.9889133	0.71466106	group3
Gene583	-1.2021402	-1.2969675	0.58064514	0.21636964	0.9928373	0.7092557	group3
Gene584	-1.1955259	-1.2976713	0.57689583	0.20127954	1.0037892	0.7112328	group3
Gene585	-1.1865779	-1.3020296	0.5859628	0.18757609	1.0116197	0.70344895	group3
Gene586	-1.2346007	-1.2779317	0.5413328	0.26590455	0.9642047	0.74109024	group3
Gene587	-1.2373903	-1.2812924	0.55833	0.27968192	0.9518558	0.728815	group3
Gene588	-1.248016	-1.2660073	0.5121831	0.28187546	0.9568249	0.7631398	group3
Gene589	-1.2592022	-1.2708155	0.5466937	0.3221136	0.9227912	0.7384193	group3
Gene590	-1.2550731	-1.2713588	0.5426123	0.31097186	0.93154764	0.7413001	group3
Gene591	-1.2461886	-1.2803783	0.56700486	0.3029866	0.9337122	0.7228633	group3
Gene592	-1.2614907	-1.2765137	0.57545495	0.34152362	0.9040679	0.71695787	group3
Gene593	-1.2370586	-1.2967387	0.6277906	0.314322	0.9152264	0.67645836	group3
Gene594	-1.240881	-1.2934736	0.6184273	0.31770805	0.91443026	0.6837889	group3
Gene595	-1.2370912	-1.2930528	0.60969156	0.30463064	0.92550415	0.69031763	group3
Gene596	-1.2189984	-1.3082412	0.65475345	0.28971645	0.9280047	0.6547651	group3
Gene597	-1.2244076	-1.3035848	0.6399909	0.29322878	0.92828995	0.6664826	group3
